Seed,Games
11,1
10,1
9,2
4,2
7,2
3,2
8,2
12,2
8,2
5,2
3,2
15,2
9,2
5,2
2,2
6,2
7,2
3,2
4,3
6,3
4,3
6,3
5,3
10,3
1,3
14,3
2,4
2,4
6,4
10,4
1,5
1,5
1,6
4,7
16,1
15,1
13,1
12,1
10,1
9,1
6,1
3,1
16,1
15,1
14,1
13,1
12,1
11,1
8,1
7,1
16,1
15,1
14,1
9,1
7,1
6,1
5,1
4,1
16,1
15,1
14,1
13,1
12,1
11,1
9,1
7,1
8,2
7,2
5,2
14,2
9,2
6,2
5,2
2,2
10,2
11,2
1,2
12,2
8,2
10,2
4,2
3,2
4,3
11,3
4,3
10,3
2,3
13,3
5,3
6,3
2,4
1,4
8,4
1,4
3,5
1,5
3,6
2,7
16,1
15,1
14,1
13,1
11,1
8,1
7,1
5,1
16,1
15,1
13,1
12,1
11,1
8,1
7,1
3,1
16,1
15,1
14,1
13,1
11,1
8,1
7,1
5,1
16,1
15,1
14,1
12,1
11,1
8,1
7,1
4,1
9,2
10,2
6,2
12,2
9,2
4,2
14,2
2,2
9,2
3,2
2,2
4,2
9,2
6,2
2,2
5,2
2,3
1,3
5,3
6,3
12,3
10,3
13,3
10,3
3,4
10,4
6,4
3,4
1,5
4,5
1,6
1,7
16,1
15,1
14,1
13,1
12,1
11,1
10,1
9,1
16,1
15,1
14,1
13,1
12,1
11,1
9,1
7,1
16,1
15,1
14,1
13,1
12,1
9,1
7,1
6,1
16,1
15,1
14,1
13,1
12,1
11,1
10,1
9,1
8,2
7,2
5,2
3,2
5,2
3,2
1,2
2,2
8,2
11,2
4,2
2,2
5,2
3,2
2,2
1,2
4,3
6,3
10,3
4,3
10,3
1,3
6,3
4,3
2,4
6,4
3,4
7,4
8,5
8,5
5,6
1,7
16,1
15,1
14,1
13,1
11,1
10,1
8,1
5,1
16,1
14,1
12,1
8,1
7,1
6,1
4,1
2,1
16,1
15,1
14,1
13,1
12,1
11,1
8,1
7,1
16,1
15,1
14,1
10,1
8,1
6,1
5,1
4,1
9,2
7,2
12,2
3,2
9,2
11,2
13,2
15,2
9,2
10,2
6,2
5,2
9,2
2,2
3,2
13,2
4,3
2,3
5,3
10,3
4,3
3,3
12,3
7,3
6,4
1,4
1,4
11,4
3,5
1,5
2,6
1,7
13,1
5,1
16,1
15,1
10,1
9,1
16,1
15,1
12,1
9,1
7,1
4,1
14,1
13,1
6,1
5,1
16,1
15,1
14,1
10,1
9,1
6,1
14,1
13,1
11,1
5,1
14,1
11,1
16,1
15,1
10,1
9,1
12,2
8,2
7,2
8,2
13,2
2,2
11,2
4,2
8,2
7,2
3,2
12,2
3,2
6,2
7,2
1,2
1,3
3,3
3,3
8,3
4,3
11,3
4,3
6,3
10,4
12,4
2,4
2,4
1,5
2,5
5,6
1,7
16,1
9,1
14,1
12,1
11,1
4,1
13,1
12,1
16,1
15,1
14,1
13,1
12,1
8,1
7,1
6,1
15,1
14,1
13,1
11,1
7,1
5,1
16,1
15,1
10,1
8,1
16,1
15,1
14,1
11,1
10,1
8,1
8,2
6,2
13,2
4,2
9,2
10,2
11,2
4,2
6,2
2,2
4,2
9,2
7,2
9,2
3,2
2,2
5,3
2,3
5,3
3,3
12,3
10,3
5,3
6,3
1,4
1,4
1,4
7,4
3,5
1,5
2,6
3,7
16,1
13,1
9,1
5,1
15,1
7,1
16,1
14,1
11,1
9,1
16,1
15,1
13,1
12,1
10,1
9,1
15,1
14,1
11,1
10,1
16,1
14,1
13,1
11,1
8,1
5,1
15,1
13,1
12,1
10,1
14,1
11,1
8,2
12,2
2,2
8,2
6,2
7,2
4,2
1,2
7,2
6,2
6,2
12,2
1,2
4,2
2,2
3,2
4,3
3,3
6,3
5,3
10,3
9,3
5,3
3,3
1,4
8,4
4,4
7,4
1,5
2,5
3,6
2,7
16,1
14,1
13,1
8,1
6,1
5,1
15,1
14,1
11,1
10,1
16,1
15,1
14,1
11,1
10,1
9,1
16,1
15,1
13,1
12,1
11,1
8,1
7,1
3,1
15,1
10,1
16,1
12,1
8,1
4,1
13,1
12,1
9,2
11,2
4,2
